timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
51688,0.0,Level_1_PRE-COND,2.57,1.69,0.73,0.94,0.8766667,0.33,0.04
51948,0.26,Level_1_PRE-COND,2.57,1.69,0.73,0.94,0.8766667,0.33,0.04
52201,0.513,Level_1_PRE-COND,2.57,1.69,0.73,0.94,0.87999994,0.33,0.04
52464,0.776,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.33,0.04
52721,1.033,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.8766667,0.33,0.04
52978,1.29,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.8766667,0.33,0.04
53240,1.552,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.8766667,0.33333334,0.04
53489,1.801,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.33666667,0.04
53751,2.063,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
54002,2.314,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
54252,2.564,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
54506,2.818,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
54756,3.068,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
55009,3.321,Level_1_RAMP_UP,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
55503,3.815,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
55760,4.072,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
56023,4.335,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
56285,4.597,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
56543,4.855,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
56805,5.117,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
57065,5.377,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
57328,5.64,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
57580,5.892,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
57835,6.147,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
58098,6.41,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
58349,6.661,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
58609,6.921,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
58870,7.182,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
59127,7.439,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34,0.04
59380,7.692,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34333333,0.04
59631,7.943,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.34666666,0.04
59893,8.205,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
60145,8.457,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
60395,8.707,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
60657,8.969,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
60912,9.224,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
61175,9.487,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
61426,9.738,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
61694,10.006,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
61947,10.259,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
62203,10.515,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
62454,10.766,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
62715,11.027,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
62977,11.289,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
63230,11.542,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
63491,11.803,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
63744,12.056,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
64011,12.323,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
64277,12.589,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
64539,12.851,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
64792,13.104,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
65053,13.365,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
65316,13.628,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
65570,13.882,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
65825,14.137,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
66090,14.402,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
66340,14.652,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
66593,14.905,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
66843,15.155,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
67103,15.415,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
67363,15.675,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
67627,15.939,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
67894,16.206,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
68144,16.456,Level_1_HOLD,2.57,1.69,0.73,0.94,0.87999994,0.35,0.04
