timestamp,relative_time,sample,co_m,eth_m,voc_m,no2,eth_gm,voc_gm,co_gm
2385130,0.0,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15,0.03
2385384,0.254,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15,0.03
2385647,0.517,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15,0.03
2385898,0.768,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15,0.03
2386149,1.019,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15,0.03
2386412,1.282,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15333334,0.03
2386674,1.544,Level_1_PRE-COND,2.57,1.69,0.73,0.82,0.66,0.15333334,0.03
2386927,1.797,Level_1_PRE-COND,2.57,1.69,0.73,0.8233333,0.66,0.15333334,0.03
2387191,2.061,Level_1_PRE-COND,2.57,1.69,0.73,0.8233333,0.66,0.15,0.03
2387442,2.312,Level_1_PRE-COND,2.57,1.69,0.73,0.82666665,0.66,0.15333334,0.03
2387711,2.581,Level_1_PRE-COND,2.57,1.69,0.73,0.82666665,0.66,0.15666667,0.03
2387972,2.842,Level_1_PRE-COND,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2388219,3.089,Level_1_PRE-COND,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2388663,3.533,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2388915,3.785,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2389168,4.038,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2389422,4.292,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2389681,4.551,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2389948,4.818,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2390198,5.068,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2390453,5.323,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2390706,5.576,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2390964,5.834,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2391227,6.097,Level_1_RAMP_UP,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2391709,6.579,Level_1_HOLD,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2391967,6.837,Level_1_HOLD,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2392220,7.09,Level_1_HOLD,2.57,1.69,0.73,0.83,0.66,0.16,0.03
2392475,7.345,Level_1_HOLD,2.57,1.69,0.73,0.8333333,0.66,0.16,0.03
2392741,7.611,Level_1_HOLD,2.57,1.69,0.73,0.83666664,0.66,0.16,0.03
2393002,7.872,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2393263,8.133,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2393528,8.398,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2393789,8.659,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2394043,8.913,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2394302,9.172,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2394557,9.427,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2394823,9.693,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2395086,9.956,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.16,0.03
2401221,16.091,Level_1_HOLD,2.59,1.71,0.7366667,0.84,0.66,0.16333334,0.03
2401477,16.347,Level_1_HOLD,2.59,1.71,0.7366667,0.84,0.66,0.16666667,0.03
2401730,16.6,Level_1_HOLD,2.59,1.71,0.7366667,0.84,0.66,0.17,0.03
2401989,16.859,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2402244,17.114,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2402495,17.365,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2402752,17.622,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2403009,17.879,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2403273,18.143,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2403538,18.408,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2403791,18.661,Level_1_HOLD,2.57,1.69,0.73,0.84,0.66,0.17,0.03
2404039,18.909,Level_1_HOLD,2.57,1.69,0.73,0.84,0.76,0.17,0.03
2404298,19.168,Level_1_HOLD,2.57,1.69,0.73,0.84,0.87000006,0.17,0.03
2404556,19.426,Level_1_HOLD,2.57,1.69,0.73,0.84,0.98333335,0.17,0.03
2404822,19.692,Level_1_HOLD,2.57,1.69,0.73,0.84,1.0,0.17,0.03
2405081,19.951,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.01,0.17,0.03
2405337,20.207,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.0166667,0.17,0.03
2405603,20.473,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2405871,20.741,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2406136,21.006,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2406397,21.267,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2406653,21.523,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2406905,21.775,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.02,0.17,0.03
2407158,22.028,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.02,0.17,0.03
2407415,22.285,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.02,0.17,0.03
2407674,22.544,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2407932,22.802,Level_1_HOLD,2.57,1.69,0.73,0.8433333,1.02,0.17,0.03
2408193,23.063,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2408449,23.319,Level_1_HOLD,2.57,1.69,0.73,0.84666663,1.02,0.17,0.03
2408702,23.572,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2408956,23.826,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2409222,24.092,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2409479,24.349,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2409732,24.602,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2409983,24.853,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2410239,25.109,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2410498,25.368,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2410759,25.629,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2411015,25.885,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2411278,26.148,Level_1_HOLD,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2411797,26.667,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2412047,26.917,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2412300,27.17,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2412551,27.421,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2412799,27.669,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2413061,27.931,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2413321,28.191,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.17,0.03
2416407,31.277,Level_1_PURGE,2.5833333,1.7000002,0.73333335,0.8500001,1.02,0.17333333,0.03
2416670,31.54,Level_1_PURGE,2.5833333,1.7000002,0.73333335,0.8500001,1.02,0.17666668,0.03
2416930,31.8,Level_1_PURGE,2.5833333,1.7000002,0.73333335,0.8500001,1.02,0.18,0.03
2417186,32.056,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2417448,32.318,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2417707,32.577,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2417955,32.825,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2418214,33.084,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2418463,33.333,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2418722,33.592,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2418984,33.854,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2419239,34.109,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2419503,34.373,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2419756,34.626,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2420006,34.876,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2420266,35.136,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2420524,35.394,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2420782,35.652,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2421035,35.905,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2421284,36.154,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2421547,36.417,Level_1_PURGE,2.57,1.69,0.73,0.8500001,1.02,0.18,0.03
2421805,36.675,Level_1_PURGE,2.57,1.69,0.73,0.8533333,1.02,0.18,0.03
2422062,36.932,Level_1_PURGE,2.57,1.69,0.73,0.85666674,1.02,0.18,0.03
2422315,37.185,Level_1_PURGE,2.57,1.69,0.73,0.85666674,1.02,0.18,0.03
2422572,37.442,Level_1_PURGE,2.57,1.69,0.73,0.85666674,1.02,0.18,0.03
2422836,37.706,Level_1_PURGE,2.57,1.69,0.73,0.8533333,1.02,0.18,0.03
